지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,금융감독원,금융사기·불법대출 상담,1332,,
전국/중앙,경찰,협박·사기·범죄 신고,112,,
전국/중앙,복지로,생활비·복지지원 신청 안내,129,,
전국/중앙,보건복지상담센터,생계·복지 상담,129,,
전국/중앙,성평등가족부 학교밖청소년지원과,학교밖청소년 지원 문의,02-2100-6317,,
전국/중앙,서민금융콜센터,채무·서민금융 상담,1397,,
전국/중앙,도박문제 헬프라인,도박문제 전화상담,1336,,
전국/중앙,서울시 공정거래종합상담센터,대리입금·불공정거래 상담,1600-0700 → 4번,,
전국/중앙,한국도박문제예방치유원 중앙센터,도박문제 상담·치유 지원,02-740-9100,,
서울,금융감독원 서울 본원,금융사기·불법대출 상담,02-3145-5114,,
부산,금융감독원 부산·울산지원,금융사기·불법대출 상담,051-606-1701,,
울산,금융감독원 부산·울산지원,금융사기·불법대출 상담,051-606-1701,,
대구,금융감독원 대구·경북지원,금융사기·불법대출 상담,053-760-4000,,
경북,금융감독원 대구·경북지원,금융사기·불법대출 상담,053-760-4000,,
광주,금융감독원 광주·전남지원,금융사기·불법대출 상담,062-606-1600,,
전남,금융감독원 광주·전남지원,금융사기·불법대출 상담,062-606-1600,,
대전,금융감독원 대전·충남지원,금융사기·불법대출 상담,042-479-5151~4,,
충남,금융감독원 대전·충남지원,금융사기·불법대출 상담,042-479-5151~4,,
인천,금융감독원 인천지원,금융사기·불법대출 상담,032-715-4890,,
경남,금융감독원 경남지원,금융사기·불법대출 상담,055-716-2330,,
제주,금융감독원 제주지원,금융사기·불법대출 상담,064-746-4200,,
전북,금융감독원 전북지원,금융사기·불법대출 상담,063-250-5000,,
강원,금융감독원 강원지원,금융사기·불법대출 상담,033-250-2800,,
강원,금융감독원 강릉지원,금융사기·불법대출 상담,033-642-1902,,
충북,금융감독원 충북지원,금융사기·불법대출 상담,043-857-9104,,
서울,한국도박문제예방치유원 중앙센터,도박문제 상담·치유 지원,02-740-9100,,
부산,부산울산도박문제예방치유센터,도박문제 상담·치유 지원,051-441-2190,,
울산,부산울산도박문제예방치유센터,도박문제 상담·치유 지원,051-441-2190,,
대구,대구도박문제예방치유센터,도박문제 상담·치유 지원,053-256-1336,,
인천,인천도박문제예방치유센터,도박문제 상담·치유 지원,032-438-6565,,
광주,광주전남도박문제예방치유센터,도박문제 상담·치유 지원,062-369-1368,,
전남,광주전남도박문제예방치유센터,도박문제 상담·치유 지원,062-369-1368,,
대전,대전충남도박문제예방치유센터,도박문제 상담·치유 지원,042-867-0075,,
충남,대전충남도박문제예방치유센터,도박문제 상담·치유 지원,042-867-0075,,
경기,경기남부도박문제예방치유센터,도박문제 상담·치유 지원,031-243-8280,,
경기,경기북부도박문제예방치유센터,도박문제 상담·치유 지원,031-919-0814,,
강원,강원도박문제예방치유센터,도박문제 상담·치유 지원,033-813-1336,,
강원,정선도박문제회복센터,도박문제 상담·치유 지원,033-592-8896,,
세종,세종충북도박문제예방치유센터,도박문제 상담·치유 지원,043-275-0051,,
충북,세종충북도박문제예방치유센터,도박문제 상담·치유 지원,043-275-0051,,
전북,전북도박문제예방치유센터,도박문제 상담·치유 지원,063-255-1336,,
경북,경북도박문제예방치유센터,도박문제 상담·치유 지원,054-256-1530,,
경남,경남도박문제예방치유센터,도박문제 상담·치유 지원,055-264-7082,,
제주,제주도박문제예방치유센터,도박문제 상담·치유 지원,064-751-1336,,
