지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,고용노동부 고객상담센터,임금체불·근로계약·최저임금 상담,1350,,
전국/중앙,청소년·청년근로권익센터,청소년 노동권 상담·권리구제 지원,1644-3119,,
전국/중앙,청소년사이버상담센터,온라인 청소년 상담,1388,,
전국/중앙,지방고용노동관서,임금체불·부당해고 신고 접수,1350,,
전국/중앙,노동포털,임금체불 진정·노동 민원 신청,https://labor.moel.go.kr/minwonApply/minwonApply.do?searchGubun=1,,
서울,서울특별시청소년상담복지센터,청소년 노동문제 상담·기관 연계,02-2285-1318,,
부산,부산광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,051-804-5001,,
대구,대구광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,053-659-6240,,
인천,인천광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,032-721-2300,,
광주,광주광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,062-226-8181 / 062-232-2000,,
대전,대전광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,042-257-2000,,
울산,울산광역시청소년상담복지센터,청소년 노동문제 상담·기관 연계,052-227-2000,,
세종,세종특별자치시청소년상담복지센터,청소년 노동문제 상담·기관 연계,044-867-2000,,
경기,경기도청소년상담복지센터,청소년 노동문제 상담·기관 연계,031-248-1318,,
강원,강원특별자치도청소년상담복지센터,청소년 노동문제 상담·기관 연계,033-256-1318,,
충북,충청북도청소년상담복지센터,청소년 노동문제 상담·기관 연계,043-238-1318,,
충남,충청남도청소년상담복지센터,청소년 노동문제 상담·기관 연계,041-554-2000,,
전북,전북특별자치도청소년상담복지센터,청소년 노동문제 상담·기관 연계,063-274-1388 / 063-273-1411,,
전남,전라남도청소년상담복지센터,청소년 노동문제 상담·기관 연계,061-280-1318,,
경북,경상북도청소년상담복지센터,청소년 노동문제 상담·기관 연계,054-850-1000,,
경남,경상남도청소년상담복지센터,청소년 노동문제 상담·기관 연계,055-263-1318,,
제주,제주특별자치도청소년상담복지센터,청소년 노동문제 상담·기관 연계,064-1388,,
