지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,여성긴급전화,긴급 폭력 피해 상담·연계,1366,,
전국/중앙,청소년사이버상담센터,청소년 상담,1388,,
전국/중앙,학교폭력신고센터,학교·또래 관계 내 성폭력/성희롱 신고,117,,
전국/중앙,청소년유해매체물 신고센터,청소년 유해매체물 신고,02-2100-6088,,
전국/중앙,한국여성인권진흥원 중앙디지털 성범죄피해자 지원센터,디지털 성범죄 피해 상담·지원,02-735-8994,,
서울,십대여성인권센터,성착취·성매매 피해 상담·지원,02-6348-1318,,
부산,부산시청소년종합지원센터,성착취·성매매 피해 상담·지원,051-303-9623,,
대구,대구여성회,성착취·성매매 피해 상담·지원,053-427-1319,,
인천,인권희망 강강술래,성착취·성매매 피해 상담·지원,032-874-8297,,
광주,광주여성인권지원센터,성착취·성매매 피해 상담·지원,062-227-8297,,
대전,여성인권티움,성착취·성매매 피해 상담·지원,042-222-8297,,
울산,울산여성의전화,성착취·성매매 피해 상담·지원,052-244-1555,,
경기,수원여성인권돋움,성착취·성매매 피해 상담·지원,031-244-7774,,
강원,강원여성인권지원공동체,성착취·성매매 피해 상담·지원,032-255-1388,,
충북,충북여성인권상담소 늘봄,성착취·성매매 피해 상담·지원,043-224-8297,,
충남,충남여성인권지원센터,성착취·성매매 피해 상담·지원,041-576-1388,,
전북,전북여성인권지원센터,성착취·성매매 피해 상담·지원,063-288-8297,,
전남,여수여성인권지원센터,성착취·성매매 피해 상담·지원,061-810-1318,,
경북,포항여성인권지원센터,성착취·성매매 피해 상담·지원,054-255-1318,,
경남,사회복지법인 범숙,성착취·성매매 피해 상담·지원,055-715-1388,,
제주,제주현장상담센터 해냄,성착취·성매매 피해 상담·지원,064-721-8297,,
서울,서울디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,02-815-0382,,
부산,부산디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,051-802-2081,,
대구,대구디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,053-215-6487,,
인천,인천디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,032-517-5170,,
광주,광주디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,062-672-1582,,
대전,대전디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,042-255-0078,,
울산,울산디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,052-252-8247,,
세종,세종디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,044-866-1366,,
경기,경기디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,1544-9112,,
강원,강원디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,033-765-1366 / 010-3028-1366,,
충북,충북디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,043-267-3006,,
충남,충남디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,041-545-8994,,
전북,전북디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,063-717-1366,,
전남,전남디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,061-283-4510,,
경북,경북디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,054-282-1470,,
경남,경남디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,055-604-4240,,
제주,제주디지털성범죄피해자지원센터,디지털 성범죄 피해 상담·지원,064-744-8994,,
