지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,경찰,긴급 아동학대·폭력 신고,112,,
전국/중앙,여성긴급전화,가정폭력·긴급보호 상담,1366,,
전국/중앙,청소년상담 1388,청소년 위기·심리상담,1388,,
전국/중앙,가족센터,가족갈등·가족상담,1577-9337,,
전국/중앙,한국가정법률상담소,가정폭력·가족법 법률상담,1644-7077,,
전국/중앙,대한법률구조공단,법률상담·소송지원 문의,132,,
전국/중앙,아동권리보장원,아동보호 제도·기관 정보 안내,02-6454-8500,,
서울,서울남성의전화,남성 가정폭력 피해 상담,02-2653-1366,,
서울,서울관악구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-626-71391,,
서울,서대문구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-637-41391,,
서울,구로구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-6734-1391,,
서울,동작구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-820-9285,,
서울,서울특별시아동복지센터,아동학대·방임 상담 및 보호 연계,02-2040-4200,,
서울,서울동부아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-2247-1391,,
서울,서울서남아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-3665-5183~5,,
서울,서울서북아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-3157-1391,,
서울,서울남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-842-0094,,
서울,서울북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-923-5440,,
서울,서울중부아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-422-1391,,
서울,서울동남권아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-474-1391,,
서울,노원구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-974-1391,,
서울,성북구아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-2039-5472,,
서울,가톨릭청소년이동쉼터 서울A지T,일시쉼터,02-382-5677,,
서울,강동여자단기청소년쉼터,단기쉼터,02-488-7961,,
서울,강서남자단기청소년쉼터,단기쉼터,02-2697-7377,,
서울,강서여자중장기청소년쉼터,중장기쉼터,02-302-9006,,
서울,관악청소년자립지원관(이용형),자립지원관,02-851-1924,,
서울,서울시립강북일시청소년쉼터,일시쉼터,02-6435-7979,,
서울,서울시립금천여자단기청소년쉼터,단기쉼터,02-3281-8200,,
서울,서울시립금천여자중장기청소년쉼터,중장기쉼터,02-6959-1011,,
서울,서울시립망우여자단기청소년쉼터,단기쉼터,02-493-1388,,
서울,서울시립신림남자단기청소년쉼터,단기쉼터,02-876-7942,,
서울,서울시립신림남자중기청소년쉼터,중기쉼터,02-3281-7942,,
서울,서울시립앙천일시청소년쉼터(고정형),일시쉼터,02-2051-1371,,
서울,서울시립용산일시청소년쉼터(고정형),일시쉼터,02-718-1318,,
서울,서울시립은평여자중장기청소년쉼터,중장기쉼터,02-6959-2401,,
서울,"서울시립일시청소년쉼터(이동형,동남)",일시쉼터,02-6239-2002,,
서울,"서울시립일시청소년쉼터(이동형,동북)",일시쉼터,02-6239-2014,,
서울,"서울시립일시청소년쉼터(이동형,서남)",일시쉼터,02-722-1318,,
서울,"서울시립일시청소년쉼터(이동형,서북)",일시쉼터,02-722-1318,,
서울,서울시립청소년자립지원관(혼합형),자립지원관,02-6959-5012,,
서울,"은평구립일시청소년쉼터(고정형,여)",일시쉼터,02-382-1388,,
부산,부산시아동보호종합센터,아동학대·방임 상담 및 보호 연계,051-240-6321,,
부산,동부산아동보호전문기관,아동학대·방임 상담 및 보호 연계,051-715-1391,,
부산,북부산아동보호전문기관,아동학대·방임 상담 및 보호 연계,051-711-1391,,
부산,남부산아동보호전문기관,아동학대·방임 상담 및 보호 연계,051-791-1360,,
부산,부산진구아동보호전문기관,아동학대·방임 상담 및 보호 연계,051-711-1361,,
부산,중부산아동보호전문기관,아동학대·방임 상담 및 보호 연계,051-921-1391,,
부산,부산광역시남자단기청소년쉼터,단기쉼터,051-303-9672,,
부산,부산광역시여자단기청소년쉼터,단기쉼터,051-756-0924,,
부산,부산광역시여자중장기청소년쉼터,중장기쉼터,051-581-1388,,
부산,부산광역시일시청소년쉼터(고정형),일시쉼터,051-303-9670,,
부산,부산광역시일시청소년쉼터(이동형),일시쉼터,051-303-9677,,
부산,부산광역시청소년자립지원관(혼합형),자립지원관,051-303-9671,,
대구,대구광역시아동보호전문기관,아동학대·방임 상담 및 보호 연계,053-422-1391,,
대구,대구남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,053-623-1391,,
대구,대구북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,053-710-1391,,
대구,달서구남자단기청소년쉼터,단기쉼터,053-526-1318,,
대구,대구광역시남자중장기청소년쉼터,중장기쉼터,053-426-2275,,
대구,대구광역시여자단기청소년쉼터,단기쉼터,053-659-6291,,
대구,대구광역시여자중장기청소년쉼터,중장기쉼터,053-426-2276,,
대구,대구광역시일시청소년쉼터(고정형),일시쉼터,053-764-1388,,
대구,대구광역시일시청소년쉼터(이동형),일시쉼터,053-754-1388,,
대구,대구광역시청소년자립지원관(이용형),자립지원관,053-657-1924,,
인천,인천검암아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-277-1391,,
인천,인천중부아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-765-1391,,
인천,인천광역시아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-434-1391,,
인천,인천북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-515-1391,,
인천,인천남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-424-1391,,
인천,인천서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-563-1391,,
인천,인천시남자단기청소년쉼터(바다의별),단기쉼터,032-438-1318,,
인천,인천시남자단기청소년쉼터(우리들),단기쉼터,032-442-1388,,
인천,인천시여자단기청소년쉼터(하늘목장),단기쉼터,032-528-2216,,
인천,인천시여자단기청소년쉼터(하모니),단기쉼터,032-468-1318,,
인천,인천시여자중장기청소년쉼터(예꿈),중장기쉼터,032-465-1393,,
인천,"인천시일시청소년쉼터(고정형,꿈꾸는별)",일시쉼터,032-817-1318,,
인천,"인천시일시청소년쉼터(고정형,한울타리)",일시쉼터,032-516-1318,,
인천,인천시일시청소년쉼터(이동형),일시쉼터,032-513-1388,,
인천,인천시청소년자립지원관(별바라기),자립지원관,032-875-1319,,
인천,인천시청소년자립지원관(행복자리),자립지원관,032-467-1398,,
광주,광주광역시아동보호전문기관,아동학대·방임 상담 및 보호 연계,062-385-1391,,
광주,빛고을아동보호전문기관,아동학대·방임 상담 및 보호 연계,062-675-1391,,
광주,광주광역시남자단기청소년쉼터,단기쉼터,062-227-1388,,
광주,광주광역시남자중장기청소년쉼터,중장기쉼터,062-714-1388,,
광주,광주광역시여자단기청소년쉼터,단기쉼터,062-525-1318,,
광주,광주광역시여자중장기청소년쉼터,중장기쉼터,062-366-1318,,
광주,광주광역시일시청소년쉼터(이동형),일시쉼터,062-527-1318,,
대전,대전북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,042-710-0735,,
대전,대전광역시아동보호전문기관,아동학대·방임 상담 및 보호 연계,042-254-6790,,
대전,대전서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,042-716-2020,,
대전,"대전광역시일시청소년쉼터(고정형, 드롭인센터)",일시쉼터,042-673-1092,,
대전,대전광역시일시청소년쉼터(이동형),일시쉼터,042-221-1092,,
대전,대전시남자단기청소년쉼터,단기쉼터,042-223-7179,,
대전,대전시남자중장기청소년쉼터,중장기쉼터,042-528-7179,,
대전,대전여자단기청소년쉼터,단기쉼터,042-256-7942,,
대전,대전여자중장기청소년쉼터,중장기쉼터,042-534-0179,,
대전,대전청소년자립지원관(이용형),자립지원관,042-482-1924,,
울산,울산광역시아동보호전문기관,아동학대·방임 상담 및 보호 연계,052-245-9382,,
울산,울산남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,052-256-1391,,
울산,울산광역시남자단기청소년쉼터,단기쉼터,052-261-1388,,
울산,울산광역시일시청소년쉼터,일시쉼터,052-245-1388,,
울산,울산남구여자단기청소년쉼터,단기쉼터,052-269-1388,,
울산,울산남구여자중장기청소년쉼터,중장기쉼터,052-265-1388,,
울산,울산울주군남자중장기청소년쉼터,중장기쉼터,052-223-5186,,
세종,세종특별자치시아동보호전문기관,아동학대·방임 상담 및 보호 연계,044-864-1393,,
경기,경기도거점아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-245-2448,,
경기,안성시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-805-7039,,
경기,경기이천아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-801-1916,,
경기,하남시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8027-8790,,
경기,용인시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-275-6177,,
경기,경기포천아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8089-8391,,
경기,의정부시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-928-6747,,
경기,성남시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-756-1391,,
