지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,방송통신심의위원회,온라인 명예훼손·모욕·게시물 피해 상담,1377,,
전국/중앙,청소년사이버상담센터,온라인 괴롭힘·사이버불링 피해 상담,1388,,
전국/중앙,학교폭력신고센터,학교폭력·사이버불링 신고,117,,
전국/중앙,청소년유해매체물 신고센터,청소년 유해매체물 신고,02-2100-6088,,
서울,서울특별시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,02-2285-1318,,
부산,부산광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,051-804-5001,,
대구,대구광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,053-659-6240,,
인천,인천광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,032-721-2300,,
광주,광주광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,062-226-8181 / 062-232-2000,,
대전,대전광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,042-257-2000,,
울산,울산광역시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,052-227-2000,,
세종,세종특별자치시청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,044-867-2000,,
경기,경기도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,031-248-1318,,
강원,강원특별자치도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,033-256-1318,,
충북,충청북도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,043-238-1318,,
충남,충청남도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,041-554-2000,,
전북,전북특별자치도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,063-274-1388 / 063-273-1411,,
전남,전라남도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,061-280-1318,,
경북,경상북도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,054-850-1000,,
경남,경상남도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,055-263-1318,,
제주,제주특별자치도청소년상담복지센터,온라인 괴롭힘·사이버불링 피해 상담,064-1388,,
