지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,경찰,긴급보호·학대·폭력 신고,112,,
전국/중앙,대한법률구조공단,친권·후견 법률상담,132,,
전국/중앙,한국가정법률상담소,가족관계·친권·후견 상담,1644-7077,,
서울,서울관악구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-626-71391,,
서울,서대문구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-637-41391,,
서울,구로구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-6734-1391,,
서울,동작구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-820-9285,,
서울,서울특별시아동복지센터,친권자의 아동학대·방임 상담 및 보호 연계,02-2040-4200,,
서울,서울동부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-2247-1391,,
서울,서울서남아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-3665-5183~5,,
서울,서울서북아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-3157-1391,,
서울,서울남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-842-0094,,
서울,서울북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-923-5440,,
서울,서울중부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-422-1391,,
서울,서울동남권아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-474-1391,,
서울,노원구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-974-1391,,
서울,성북구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-2039-5472,,
부산,부산시아동보호종합센터,친권자의 아동학대·방임 상담 및 보호 연계,051-240-6321,,
부산,동부산아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,0517151391,,
부산,북부산아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,051-711-1391,,
부산,남부산아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,051-791-1360,,
부산,부산진구아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,051-711-1361,,
부산,중부산아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,051-921-1391,,
대구,대구광역시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,053-422-1391,,
대구,대구남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,053-623-1391,,
대구,대구북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,053-710-1391,,
인천,인천검암아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-277-1391,,
인천,인천중부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-765-1391,,
인천,인천광역시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-434-1391,,
인천,인천북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-515-1391,,
인천,인천남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-424-1391,,
인천,인천서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-563-1391,,
광주,광주광역시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,062-385-1391,,
광주,빛고을아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,062-675-1391,,
대전,대전북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,042-710-0735,,
대전,대전광역시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,042-254-6790,,
대전,대전서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,042-716-2020,,
울산,울산광역시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,052-245-9382,,
울산,울산남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,052-256-1391,,
세종,세종특별자치시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,044-864-1393,,
경기,안성시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-805-7039,,
경기,경기이천아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-801-1916,,
경기,하남시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8027-8790,,
경기,용인시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-275-6177,,
경기,경기포천아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8089-8391,,
경기,경기도거점아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-245-2448,,
경기,의정부시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-928-6747,,
경기,성남시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-756-1391,,
경기,고양시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-966-1391,,
경기,부천시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,032-662-2580,,
경기,경기남양주아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,본원 031-592-9818 / 분원 031-553-9818,,
경기,안산시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-402-0442,,
경기,시흥아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-316-1391,,
경기,경기평택아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-652-1391,,
경기,수원아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8009-0080,,
경기,광명시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,02-897-1577,,
경기,안양시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-468-9821,,
경기,구리시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-523-3163,,
경기,군포시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-391-1391,,
경기,경기광주아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8027-0171,,
경기,경기의왕아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-360-1391,,
경기,파주시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-839-0940,,
경기,화성시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-227-1310,,
경기,오산시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8077-9610,,
경기,김포시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-8084-3891,,
경기,경기양주아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,031-856-9001,,
강원,강원특별자치도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,033-244-1391,,
강원,강원동부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,033-644-1391,,
강원,강원서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,033-766-1391,,
강원,강원남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,033-535-5391,,
강원,강원중부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,033-344-5391,,
충북,충청북도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,043-216-1391,,
충북,충북북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,043-643-0943,,
충북,충북남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,043-731-3685,,
충북,충북중부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,043-535-1391,,
충남,충청남도동부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,041-400-7229,,
충남,충청남도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,041-578-2655,,
충남,충청남도남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,041-734-6640,,
충남,충청남도서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,041-635-1106,,
충남,충청남도중부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,041-546-1391,,
전북,정읍시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-700-7121,,
전북,전북특별자치도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-283-1391,,
전북,전북익산시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-852-1391,,
전북,전라북도군산시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-734-1391,,
전북,전북동부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-635-1391,,
전북,전주덕진아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-715-1371,,
전북,전주완산아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,063-717-1372,,
전남,전남남부권아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,061-880-7391,,
전남,전라남도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,061-753-5125,,
전남,전남서부권아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,061-285-1391,,
전남,전남중부권아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,061-332-1391,,
전남,전남북부권아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,061-870-7200,,
경북,경북남부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,054-745-1391,,
경북,경북북부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,054-853-1391,,
경북,경북동부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,054-284-1391,,
경북,경북서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,054-455-1391,,
경남,통영시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-725-7391,,
경남,거제시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-736-1391,,
경남,경상남도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-244-1391,,
경남,경남서부아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-786-7391,,
경남,김해시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-322-1391,,
경남,창원시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-713-1390,,
경남,양산시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-367-1391,,
경남,진주시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,055-762-1391,,
제주,제주특별자치도아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,064-712-1391,,
제주,서귀포시아동보호전문기관,친권자의 아동학대·방임 상담 및 보호 연계,064-732-1391,,
서울,서울가정위탁지원센터,보호자 공백·위탁보호 상담,02-325-9080,,
부산,부산가정위탁지원센터,보호자 공백·위탁보호 상담,051-758-8801,,
대구,대구가정위탁지원센터,보호자 공백·위탁보호 상담,053-656-2510,,
인천,인천가정위탁지원센터,보호자 공백·위탁보호 상담,032-866-1226,,
광주,광주가정위탁지원센터,보호자 공백·위탁보호 상담,062-351-1206,,
대전,대전가정위탁지원센터,보호자 공백·위탁보호 상담,042-242-5240,,
울산,울산가정위탁지원센터,보호자 공백·위탁보호 상담,052-286-1548,,
경기,경기가정위탁지원센터,보호자 공백·위탁보호 상담,031-234-3980,,
경기,경기북부가정위탁지원센터,보호자 공백·위탁보호 상담,031-821-9117,,
강원,강원가정위탁지원센터,보호자 공백·위탁보호 상담,033-257-1407,,
충북,충북가정위탁지원센터,보호자 공백·위탁보호 상담,043-250-1226,,
충남,충남가정위탁지원센터,보호자 공백·위탁보호 상담,041-577-1226,,
전북,전북가정위탁지원센터,보호자 공백·위탁보호 상담,063-288-7770,,
전남,전남가정위탁지원센터,보호자 공백·위탁보호 상담,061-279-1225,,
전남,전남동부가정위탁지원센터,보호자 공백·위탁보호 상담,061-744-1964,,
경북,경북가정위탁지원센터,보호자 공백·위탁보호 상담,054-705-3600,,
경남,경남가정위탁지원센터,보호자 공백·위탁보호 상담,055-237-1226,,
제주,제주가정위탁지원센터,보호자 공백·위탁보호 상담,064-747-3273,,
서울,서울가정법원,친권·후견 법원 절차 문의,02-2055-7114,,
인천,인천가정법원,친권·후견 법원 절차 문의,032-620-4114,,
경기,인천가정법원 부천지원,친권·후견 법원 절차 문의,032-320-1114,,
대전,대전가정법원,친권·후견 법원 절차 문의,042-480-2000,,
충남,대전가정법원 천안지원,친권·후견 법원 절차 문의,041-620-3000,,
충남,대전가정법원 공주지원,친권·후견 법원 절차 문의,041-840-5700,,
충남,대전가정법원 홍성지원,친권·후견 법원 절차 문의,041-640-3100,,
충남,대전가정법원 논산지원,친권·후견 법원 절차 문의,041-746-2700,,
충남,대전가정법원 서산지원,친권·후견 법원 절차 문의,041-660-0600,,
대구,대구가정법원,친권·후견 법원 절차 문의,053-570-1500,,
경북,대구가정법원 안동지원,친권·후견 법원 절차 문의,054-850-5000,,
경북,대구가정법원 경주지원,친권·후견 법원 절차 문의,054-770-4300,,
경북,대구가정법원 포항지원,친권·후견 법원 절차 문의,054-250-3000,,
경북,대구가정법원 김천지원,친권·후견 법원 절차 문의,054-420-2000,,
경북,대구가정법원 상주지원,친권·후견 법원 절차 문의,054-530-5500,,
경북,대구가정법원 의성지원,친권·후견 법원 절차 문의,054-830-8000,,
경북,대구가정법원 영덕지원,친권·후견 법원 절차 문의,054-730-3000,,
부산,부산가정법원,친권·후견 법원 절차 문의,051-590-1114,,
울산,울산가정법원,친권·후견 법원 절차 문의,052-216-8000,,
광주,광주가정법원,친권·후견 법원 절차 문의,062-608-1200,,
전남,광주가정법원 목포지원,친권·후견 법원 절차 문의,061-270-6600,,
전남,광주가정법원 장흥지원,친권·후견 법원 절차 문의,061-860-1500,,
전남,광주가정법원 순천지원,친권·후견 법원 절차 문의,061-729-5114,,
전남,광주가정법원 해남지원,친권·후견 법원 절차 문의,061-534-9171,,
경기,수원가정법원,친권·후견 법원 절차 문의,031-679-1114,,
경기,수원가정법원 성남지원,친권·후견 법원 절차 문의,031-737-1114,,
경기,수원가정법원 여주지원,친권·후견 법원 절차 문의,031-880-7500,,
경기,수원가정법원 평택지원,친권·후견 법원 절차 문의,031-650-3114,,
경기,수원가정법원 안산지원,친권·후견 법원 절차 문의,031-481-1114,,
경기,수원가정법원 안양지원,친권·후견 법원 절차 문의,031-8086-1114,,
강원,춘천지방법원 가사부/가사과,친권·후견 법원 절차 문의,033-259-9000,,
강원,춘천지방법원 강릉지원 가사부/가사과,친권·후견 법원 절차 문의,033-640-1000,,
충북,청주지방법원 가사부/가사과,친권·후견 법원 절차 문의,043-249-7114,,
전북,전주지방법원 가사부/가사과,친권·후견 법원 절차 문의,063-259-5400,,
경남,창원지방법원 가사부/가사과,친권·후견 법원 절차 문의,055-239-2000,,
경남,창원지방법원 진주지원 가사부/가사과,친권·후견 법원 절차 문의,055-760-3300,,
제주,제주지방법원 가사부/가사과,친권·후견 법원 절차 문의,064-729-2000,,
