지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,학교폭력 신고센터,24시간 긴급 신고·상담 센터,117,,
전국/중앙,청소년사이버상담센터,온라인 청소년 상담,1388,,
전국/중앙,BTF 푸른나무재단,전국 학교폭력 상담전화,1588-9128,,
서울,서울특별시 학교밖청소년지원센터 꿈드림,상담·검정고시·진학·직업·자립·건강 지원,02-2675-1319,,
서울,가톨릭청소년이동쉼터 서울A지T,일시쉼터,02-382-5677,,
서울,강동여자단기청소년쉼터,단기쉼터,02-488-7961,,
서울,강서남자단기청소년쉼터,단기쉼터,02-2697-7377,,
서울,강서여자중장기청소년쉼터,중장기쉼터,02-302-9006,,
서울,관악청소년자립지원관(이용형),자립지원관,02-851-1924,,
서울,서울시립강북일시청소년쉼터,일시쉼터,02-6435-7979,,
서울,서울시립금천여자단기청소년쉼터,단기쉼터,02-3281-8200,,
서울,서울시립금천여자중장기청소년쉼터,중장기쉼터,02-6959-1011,,
서울,서울시립망우여자단기청소년쉼터,단기쉼터,02-493-1388,,
서울,서울시립신림남자단기청소년쉼터,단기쉼터,02-876-7942,,
서울,서울시립신림남자중기청소년쉼터,중기쉼터,02-3281-7942,,
서울,서울시립앙천일시청소년쉼터(고정형),일시쉼터,02-2051-1371,,
서울,서울시립용산일시청소년쉼터(고정형),일시쉼터,02-718-1318,,
서울,서울시립은평여자중장기청소년쉼터,중장기쉼터,02-6959-2401,,
서울,"서울시립일시청소년쉼터(이동형,동남)",일시쉼터,02-6239-2002,,
서울,"서울시립일시청소년쉼터(이동형,동북)",일시쉼터,02-6239-2014,,
서울,"서울시립일시청소년쉼터(이동형,서남)",일시쉼터,02-722-1318,,
서울,"서울시립일시청소년쉼터(이동형,서북)",일시쉼터,02-722-1318,,
서울,서울시립청소년자립지원관(혼합형),자립지원관,02-6959-5012,,
서울,"은평구립일시청소년쉼터(고정형,여)",일시쉼터,02-382-1388,,
부산,부산광역시 학교밖청소년지원센터 꿈드림,상담·검정고시·진로·취업·자립·생활 지원,051-304-1318,,
부산,부산광역시남자단기청소년쉼터,단기쉼터,051-303-9672,,
부산,부산광역시여자단기청소년쉼터,단기쉼터,051-756-0924,,
부산,부산광역시여자중장기청소년쉼터,중장기쉼터,051-581-1388,,
부산,부산광역시일시청소년쉼터(고정형),일시쉼터,051-303-9670,,
부산,부산광역시일시청소년쉼터(이동형),일시쉼터,051-303-9677,,
부산,부산광역시청소년자립지원관(혼합형),자립지원관,051-303-9671,,
대구,대구광역시 학교밖청소년지원센터 꿈드림,상담·교육·진로·자립 지원,053-431-1388,,
대구,달서구남자단기청소년쉼터,단기쉼터,053-526-1318,,
대구,대구광역시남자중장기청소년쉼터,중장기쉼터,053-426-2275,,
대구,대구광역시여자단기청소년쉼터,단기쉼터,053-659-6291,,
대구,대구광역시여자중장기청소년쉼터,중장기쉼터,053-426-2276,,
