지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
전국/중앙,학교폭력 신고센터,24시간 긴급 신고·상담 센터,117,,
전국/중앙,청소년사이버상담센터,온라인 청소년 상담,1388,,
전국/중앙,BTF 푸른나무재단,전국 학교폭력 상담전화,1588-9128,,
서울,마음이랑 wee 센터,학교폭력 피해자 전담지원기관,02-2297-7887,,
부산,부산광역시 학교폭력예방회복조정센터,학교폭력 피해자 전담지원기관,051-303-9675,,
대구,대동wee센터,학교폭력 피해자 전담지원기관,053-746-7382,,
인천,사랑과 희망의 피그말리온센터,학교폭력 피해자 전담지원기관,032-432-7176,,
광주,아이누리발달심리상담센터,학교폭력 피해자 전담지원기관,062-574-6850,,
대전,대전시청소년상담복지센터,학교폭력 피해자 전담지원기관,042-257-2000,,
울산,울산교육연구정보원 힐링wee센터,학교폭력 피해자 전담지원기관,052-255-8190,,
세종,세종아람센터,학교폭력 피해자 전담지원기관,044-715-7979,,
경기,경기학생교육원 어울림학교,학교폭력 피해자 전담지원기관,032-930-5621,,
강원,사임당교육원,학교폭력 피해자 전담지원기관,033-640-6500,,
충북,청주의료원,학교폭력 피해자 전담지원기관,042-279-0114,,
충남,해맑음센터,학교폭력 피해자 전담지원기관,070-7119-1700,,
전북,마음치유센터,학교폭력 피해자 전담지원기관,063-271-0117,,
경북,경북청소년진흥원 학교폭력피해자지원센터,학교폭력 피해자 전담지원기관,054-850-1075,,
제주,제주시청소년상담복지센터,학교폭력 피해자 전담지원기관,064-725-7999,,
